prefix,reference,local-enterprise-partnership-area,name,twitter,wikipedia,wikidata,website,company,parliament-thesaurus,start-date,end-date
local-enterprise-partnership,1,E37000001,Black Country Local Enterprise Partnership,blackcountrylep,,,https://www.blackcountrylep.co.uk/,05159791,450503,,
local-enterprise-partnership,2,E37000002,Buckinghamshire Thames Valley Local Enterprise Partnership,,,,,,434468,,
local-enterprise-partnership,2,E37000043,Buckinghamshire,buckslep,,,https://www.buckslep.co.uk/,11912208,434468,,
local-enterprise-partnership,3,E37000003,Cheshire and Warrington Local Enterprise Partnership,candwep,,,https://cheshireandwarrington.com/,04453576,,,
local-enterprise-partnership,5,E37000005,Cornwall and Isles of Scilly Local Enterprise Partnership,lepcornwall_ios,,,https://cioslep.com/,07471437,,,
local-enterprise-partnership,6,E37000006,Coventry and Warwickshire Local Enterprise Partnership,CW_LEP,,,https://www.cwlep.com/,08210423,,,
local-enterprise-partnership,7,E37000007,Cumbria Local Enterprise Partnership,cumbrialep,,,https://www.thecumbrialep.co.uk/,11730398,,,
local-enterprise-partnership,9,E37000009,Dorset Local Enterprise Partnership,DorsetLEP,,,https://www.dorsetlep.co.uk/,10246567,,,
local-enterprise-partnership,11,E37000011,GFirst LEP,GFirstLEP,GFirst_LEP,Q30672490,https://www.gfirstlep.com/,09353067,,,
local-enterprise-partnership,12,E37000012,Greater Birmingham and Solihull Local Enterprise Partnership,GBSLEP,Greater_Birmingham_and_Solihull_Local_Enterprise_Partnership,Q16982592,https://gbslep.co.uk/,07635395,,,
local-enterprise-partnership,15,E37000015,Greater Manchester Local Enterprise Partnership,gmlep,,,https://gmlep.com/,07301567,,,
local-enterprise-partnership,16,E37000016,Heart of the South West Local Enterprise Partnership,heartofswlep,,,https://heartofswlep.co.uk/,08880546,,,
local-enterprise-partnership,18,E37000018,Humber Local Enterprise Partnership,HumberLEP,,,https://www.humberlep.org/,07502318,401326,,2021-03-31
local-enterprise-partnership,19,E37000019,Lancashire Local Enterprise Partnership,lancslep,,,https://lancashirelep.co.uk/,07388600,,,
local-enterprise-partnership,21,E37000021,Leicester and Leicestershire Local Enterprise Partnership,LLEPnews,,,https://llep.org.uk/,11932434,,,
local-enterprise-partnership,22,E37000022,Liverpool City Region Local Enterprise Partnership,LiverpoolLEP,,,https://www.liverpoollep.org/,02753023,,,
local-enterprise-partnership,25,E37000025,North East Local Enterprise Partnership,northeastlep,,,https://www.northeastlep.co.uk/,04552513,,,
local-enterprise-partnership,32,E37000032,Stoke-on-Trent and Staffordshire Local Enterprise Partnership,StokeStaffsLEP,,,https://www.stokestaffslep.org.uk/,11918616,,,
local-enterprise-partnership,33,E37000033,Swindon and Wiltshire Local Enterprise Partnership,swlep,,,https://swlep.co.uk/,11766448,,,
local-enterprise-partnership,34,E37000034,Tees Valley Local Enterprise Partnership,TeesValleyCA,,,https://teesvalley-ca.gov.uk/lep/,,,,
local-enterprise-partnership,35,E37000035,Thames Valley Berkshire Local Enterprise Partnership,tvblep,,,https://www.thamesvalleyberkshire.co.uk/,07885051,,,
local-enterprise-partnership,36,E37000036,The Marches Local Enterprise Partnership,marcheslep,The_Marches_Local_Enterprise_Partnership,Q97358196,https://www.marcheslep.org.uk/,11822614,461188,,
local-enterprise-partnership,37,E37000037,West of England Local Enterprise Partnership,WestofEnglandCA,,,https://www.westofengland-ca.gov.uk/,07616406,425846,,
local-enterprise-partnership,38,E37000038,Worcestershire Local Enterprise Partnership,worcsLEP,,,https://www.wlep.co.uk/,11899884,,,
local-enterprise-partnership,42,E37000042,Greater Cambridge and Greater Peterborough Local Enterprise Partnership,,,,,07553554,366815,,2021-03-31
local-enterprise-partnership,44,E37000044,Coast to Capital Local Enterprise Partnership,coast2capital,,,https://www.coast2capital.org.uk/,08166412,406005,,
local-enterprise-partnership,45,E37000045,"Derby, Derbyshire, Nottingham and Nottinghamshire Local Enterprise Partnership",D2N2LEP,"The_Derby,_Derbyshire,_Nottingham_and_Nottinghamshire_Local_Enterprise_Partnership",Q96408579,https://d2n2lep.org/,11914012,416675,,
local-enterprise-partnership,46,E37000046,Enterprise M3,enterprisem3,,,https://enterprisem3.org.uk/,11897237,434400,,
local-enterprise-partnership,48,E37000048,Hertfordshire Local Enterprise Partnership,HertsLEP,,,https://www.hertfordshirelep.com/,1192366,434472,,
local-enterprise-partnership,51,E37000051,London Local Enterprise Partnership,londonlep,,,https://lep.london/,,,,
local-enterprise-partnership,52,E37000052,New Anglia Local Enterprise Partnership,NewAngliaLEP,,,https://newanglia.co.uk/,07685830,401328,,
local-enterprise-partnership,53,E37000053,Oxfordshire Local Enterprise Partnership,oxfordshirelep,,,https://www.oxfordshirelep.com/,09519056,366817,,
local-enterprise-partnership,54,E37000054,South Yorkshire Local Enterprise Partnership,SouthYorksMCA,,,https://southyorkshire-ca.gov.uk/who-we-are_Local-Enterprise-Partnership,07941090,366819,,
local-enterprise-partnership,55,E37000055,Solent Local Enterprise Partnership,solentlep,,,https://solentlep.org.uk/,07569938,416661,,
local-enterprise-partnership,56,E37000056,South East Local Enterprise Partnership,southeastlep,,,https://www.southeastlep.com/,12492037,363162,,
local-enterprise-partnership,57,E37000057,South East Midlands Local Enterprise Partnership,semlep,South_East_Midlands_Local_Enterprise_Partnership,Q17061842,https://www.semlep.com/,07652124,,,
local-enterprise-partnership,58,E37000058,York and North Yorkshire Local Enterprise Partnership,ynylep,,,https://www.ynylep.com/,12780069,484883,,
local-enterprise-partnership,59,E37000059,Greater Cambridge and Greater Peterborough Local Enterprise Partnership,CambsPboroCA,,,https://cambridgeshirepeterborough-ca.gov.uk/who-we-are/business-board/,,,,
local-enterprise-partnership,60,E37000060,Greater Lincolnshire Local Enterprise Partnership,GreaterLincsLEP,,,https://www.greaterlincolnshirelep.co.uk/,09223395,,,
local-enterprise-partnership,61,E37000061,Hull and East Yorkshire Local Enterprise Partnership,hey_lep,,,https://heylep.com/,07988601,401326,2021-04-01,
local-enterprise-partnership,62,E37000062,Leeds City Region Enterprise Partnership,leedscityregion,Leeds_City_Region,Q6515927,https://www.the-lep.com/,07988601,478185,,
